St. Louis, Missouri, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1938-2022
Missing: -99
Date,Value,Anomaly
193804,57.6,0.3
193805,65.6,-1.4
193806,74.4,-2.0
193807,81.6,1.3
193808,82.1,3.5
193809,72.7,1.8
193810,64.2,4.7
193811,47.0,0.9
193812,35.8,0.2
193901,38.9,7.6
193902,33.8,-1.8
193903,47.7,2.0
193904,53.3,-4.0
193905,69.2,2.2
193906,76.7,0.3
193907,80.9,0.6
193908,76.7,-1.9
193909,75.8,4.9
193910,61.4,1.9
193911,44.2,-1.9
193912,36.7,1.1
194001,14.9,-16.4
194002,33.0,-2.6
194003,42.9,-2.8
194004,54.1,-3.2
194005,63.5,-3.5
194006,76.5,0.1
194007,79.4,-0.9
194008,78.1,-0.5
194009,69.5,-1.4
194010,63.5,4.0
194011,42.3,-3.8
194012,39.0,3.4
194101,34.1,2.8
194102,31.9,-3.7
194103,39.9,-5.8
194104,59.6,2.3
194105,70.1,3.1
194106,76.9,0.5
194107,81.0,0.7
194108,80.7,2.1
194109,72.4,1.5
194110,62.2,2.7
194111,45.5,-0.6
194112,40.2,4.6
194201,31.6,0.3
194202,33.4,-2.2
194203,46.3,0.6
194204,60.1,2.8
194205,65.7,-1.3
194206,75.1,-1.3
194207,80.6,0.3
194208,76.3,-2.3
194209,69.1,-1.8
194210,58.8,-0.7
194211,47.6,1.5
194212,31.6,-4.0
194301,30.8,-0.5
194302,39.1,3.5
194303,39.9,-5.8
194304,55.0,-2.3
194305,65.2,-1.8
194306,77.9,1.5
194307,81.8,1.5
194308,80.9,2.3
194309,66.4,-4.5
194310,57.1,-2.4
194311,41.7,-4.4
194312,31.1,-4.5
194401,36.2,4.9
194402,37.3,1.7
194403,41.0,-4.7
194404,53.4,-3.9
194405,71.2,4.2
194406,79.5,3.1
194407,79.5,-0.8
194408,78.2,-0.4
194409,70.3,-0.6
194410,60.0,0.5
194411,46.3,0.2
194412,28.5,-7.1
194501,27.9,-3.4
194502,35.3,-0.3
194503,53.9,8.2
194504,56.9,-0.4
194505,61.3,-5.7
194506,71.0,-5.4
194507,77.4,-2.9
194508,78.0,-0.6
194509,69.9,-1.0
194510,57.8,-1.7
194511,45.6,-0.5
194512,28.0,-7.6
194601,33.9,2.6
194602,40.4,4.8
194603,56.9,11.2
194604,60.8,3.5
194605,63.1,-3.9
194606,76.9,0.5
194607,80.4,0.1
194608,73.8,-4.8
194609,69.5,-1.4
194610,62.3,2.8
194611,47.6,1.5
194612,40.2,4.6
194701,36.8,5.5
194702,28.6,-7.0
194703,36.9,-8.8
194704,55.1,-2.2
194705,64.2,-2.8
194706,74.3,-2.1
194707,77.1,-3.2
194708,85.9,7.3
194709,72.0,1.1
194710,66.1,6.6
194711,40.5,-5.6
194712,38.4,2.8
194801,25.7,-5.6
194802,33.5,-2.1
194803,43.6,-2.1
194804,60.6,3.3
194805,65.1,-1.9
194806,75.8,-0.6
194807,79.6,-0.7
194808,79.1,0.5
194809,72.0,1.1
194810,56.4,-3.1
194811,47.1,1.0
194812,38.0,2.4
194901,32.6,1.3
194902,36.5,0.9
194903,44.1,-1.6
194904,54.4,-2.9
194905,69.9,2.9
194906,78.1,1.7
194907,81.6,1.3
194908,77.7,-0.9
194909,64.7,-6.2
194910,60.5,1.0
194911,48.8,2.7
194912,40.1,4.5
195001,37.8,6.5
195002,37.0,1.4
195003,41.2,-4.5
195004,51.5,-5.8
195005,68.1,1.1
195006,75.2,-1.2
195007,76.4,-3.9
195008,73.4,-5.2
195009,68.1,-2.8
195010,64.8,5.3
195011,38.5,-7.6
195012,29.3,-6.3
195101,32.8,1.5
195102,35.8,0.2
195103,40.6,-5.1
195104,52.8,-4.5
195105,68.6,1.6
195106,73.3,-3.1
195107,79.4,-0.9
195108,77.6,-1.0
195109,67.1,-3.8
195110,59.8,0.3
195111,38.9,-7.2
195112,34.1,-1.5
195201,36.1,4.8
195202,40.1,4.5
195203,42.9,-2.8
195204,55.6,-1.7
195205,66.9,-0.1
195206,84.2,7.8
195207,82.6,2.3
195208,77.7,-0.9
195209,70.8,-0.1
195210,54.3,-5.2
195211,46.1,0.0
195212,37.4,1.8
195301,35.4,4.1
195302,40.3,4.7
195303,47.3,1.6
195304,52.9,-4.4
195305,68.3,1.3
195306,82.6,6.2
195307,82.7,2.4
195308,79.3,0.7
195309,73.2,2.3
195310,62.6,3.1
195311,47.6,1.5
195312,38.1,2.5
195401,32.9,1.6
195402,44.2,8.6
195403,42.7,-3.0
195404,62.8,5.5
195405,62.7,-4.3
195406,80.5,4.1
195407,86.1,5.8
195408,81.0,2.4
195409,75.4,4.5
195410,59.4,-0.1
195411,46.0,-0.1
195412,37.1,1.5
195501,33.2,1.9
195502,36.3,0.7
195503,45.4,-0.3
195504,63.7,6.4
195505,69.4,2.4
195506,72.6,-3.8
195507,84.6,4.3
195508,81.2,2.6
195509,74.4,3.5
195510,58.9,-0.6
195511,41.8,-4.3
195512,33.5,-2.1
195601,29.3,-2.0
195602,37.3,1.7
195603,45.6,-0.1
195604,54.1,-3.2
195605,68.9,1.9
195606,77.3,0.9
195607,79.0,-1.3
195608,80.3,1.7
195609,71.6,0.7
195610,65.1,5.6
195611,45.0,-1.1
195612,38.9,3.3
195701,27.1,-4.2
195702,40.7,5.1
195703,43.9,-1.8
195704,57.1,-0.2
195705,67.3,0.3
195706,76.7,0.3
195707,81.3,1.0
195708,80.3,1.7
195709,69.2,-1.7
195710,55.5,-4.0
195711,43.5,-2.6
195712,41.2,5.6
195801,31.4,0.1
195802,25.8,-9.8
195803,38.6,-7.1
195804,56.5,-0.8
195805,67.2,0.2
195806,72.6,-3.8
195807,77.7,-2.6
195808,78.5,-0.1
195809,69.9,-1.0
195810,59.7,0.2
195811,49.0,2.9
195812,30.7,-4.9
195901,27.8,-3.5
195902,36.6,1.0
195903,46.5,0.8
195904,57.7,0.4
195905,70.5,3.5
195906,77.3,0.9
195907,78.8,-1.5
195908,81.7,3.1
195909,72.1,1.2
195910,58.0,-1.5
195911,39.8,-6.3
195912,40.1,4.5
196001,34.4,3.1
196002,31.7,-3.9
196003,31.2,-14.5
196004,59.8,2.5
196005,63.6,-3.4
196006,74.8,-1.6
196007,77.1,-3.2
196008,80.0,1.4
196009,75.0,4.1
196010,59.8,0.3
196011,47.3,1.2
196012,31.8,-3.8
196101,30.9,-0.4
196102,38.6,3.0
196103,47.7,2.0
196104,52.6,-4.7
196105,62.3,-4.7
196106,74.2,-2.2
196107,79.5,-0.8
196108,78.0,-0.6
196109,72.8,1.9
196110,61.0,1.5
196111,45.9,-0.2
196112,33.7,-1.9
196201,26.5,-4.8
196202,38.4,2.8
196203,41.4,-4.3
196204,54.8,-2.5
196205,73.8,6.8
196206,75.8,-0.6
196207,77.6,-2.7
196208,77.4,-1.2
196209,68.2,-2.7
196210,62.7,3.2
196211,46.7,0.6
196212,33.0,-2.6
196301,23.1,-8.2
196302,30.3,-5.3
196303,50.6,4.9
196304,60.0,2.7
196305,65.6,-1.4
196306,77.2,0.8
196307,79.1,-1.2
196308,76.7,-1.9
196309,70.3,-0.6
196310,68.7,9.2
196311,47.5,1.4
196312,24.0,-11.6
196401,36.5,5.2
196402,36.0,0.4
196403,44.1,-1.6
196404,60.5,3.2
196405,71.4,4.4
196406,76.6,0.2
196407,80.2,-0.1
196408,78.3,-0.3
196409,71.1,0.2
196410,55.8,-3.7
196411,49.1,3.0
196412,33.4,-2.2
196501,33.4,2.1
196502,35.2,-0.4
196503,35.9,-9.8
196504,59.8,2.5
196505,72.0,5.0
196506,76.5,0.1
196507,78.2,-2.1
196508,77.2,-1.4
